"LibraryID","WorkID"
1108618849,-2147454867
-468206372,-2147454867
2,-2136981442
-468206372,-2136457041
2,-2134919697
2,-2132186735
-468206372,-2132186735
2,-2113179128
1118369451,-2113179128
-414404825,-2112537480
2,-2110757282
-414404825,-2108097769
-414404825,-2106788161
2,-2104083745
-414404825,-2104083745
2,-2102064549
1118369451,-2101501625
-414404825,-2097642613
2,-2092154778
4,-2088170250
2,-2088170250
1118369451,-2086305408
2,-2080633227
2,-2074928341
1118369451,-2074928341
-414404825,-2073162458
-468206372,-2072955202
1118369451,-2072955202
2,-2069223754
-468206372,-2069223754
1118369451,-2069223754
1108618849,-2064475105
2,-2063677168
1108618849,-2063677168
1118369451,-2061788968
1108618849,-2054997157
-468206372,-2054997157
-414404825,-2052276915
1118369451,-2051753131
1118369451,-2048937399
2,-2044007068
2,-2040396025
-414404825,-2040029695
1108618849,-2038984559
-468206372,-2038984559
1118369451,-2038984559
2,-2034496062
2,-2025308897
2,-2022641262
-414404825,-2020108979
-414404825,-2016806844
2,-2012501035
1118369451,-2012501035
2,-2011808585
1108618849,-2011808585
-468206372,-2011808585
1118369451,-2011808585
1118369451,-2008372196
-414404825,-2004812040
1118369451,-2003115314
-468206372,-2002633586
2,-1997574116
1118369451,-1992573250
2,-1988766690
1118369451,-1988766690
1118369451,-1985239171
-414404825,-1985167269
-414404825,-1978934827
2,-1975363357
1108618849,-1975363357
-468206372,-1975363357
-468206372,-1975104323
1118369451,-1975104323
-468206372,-1973721287
1118369451,-1973721287
1118369451,-1973195522
2,-1971970987
-468206372,-1971970987
2,-1970625424
2,-1967756015
-414404825,-1949458692
2,-1949068651
2,-1947387975
-414404825,-1945869515
1118369451,-1945869515
2,-1944544139
1118369451,-1944544139
1118369451,-1941947258
2,-1939070543
1118369451,-1939070543
1118369451,-1936951185
-414404825,-1932406360
2,-1932271208
2,-1928379278
1108618849,-1928379278
-414404825,-1928379278
-414404825,-1921636759
1118369451,-1921636759
2,-1916871134
1108618849,-1916871134
-414404825,-1912733554
-468206372,-1909680085
-468206372,-1904543421
1118369451,-1904543421
2,-1900821874
-414404825,-1891585886
1118369451,-1890520336
2,-1889581224
2,-1888563677
2,-1886877839
-414404825,-1886753591
1108618849,-1886753591
-468206372,-1886753591
4,-1878670993
-414404825,-1878670993
-414404825,-1876035765
2,-1874098628
2,-1873945069
-468206372,-1870962597
2,-1862615958
2,-1857209556
1108618849,-1857209556
1118369451,-1857209556
1118369451,-1855427938
2,-1840193033
1108618849,-1840193033
2,-1836733960
1108618849,-1836733960
1118369451,-1834818298
2,-1833471253
-414404825,-1833471253
1118369451,-1826907462
2,-1825227984
-414404825,-1825133807
2,-1821820400
1118369451,-1821636100
2,-1821469957
-414404825,-1821469957
-468206372,-1821469957
2,-1818996774
1108618849,-1816286183
-414404825,-1816286183
1118369451,-1816286183
-468206372,-1814317650
1118369451,-1811297447
2,-1807085273
-468206372,-1807085273
1118369451,-1807085273
2,-1803346962
2,-1798154893
-468206372,-1798154893
2,-1794644020
-414404825,-1794644020
2,-1788150609
-468206372,-1785517021
-468206372,-1784852098
1118369451,-1774632343
1118369451,-1774170009
-414404825,-1773879820
2,-1765581412
1108618849,-1759006378
-468206372,-1759006378
1118369451,-1759006378
1118369451,-1758684981
-414404825,-1756920563
1108618849,-1756920563
1118369451,-1756920563
1108618849,-1754371581
-468206372,-1754371581
-414404825,-1752774315
2,-1752612200
1108618849,-1752612200
-468206372,-1752612200
-414404825,-1752547770
2,-1752379704
2,-1750194190
-468206372,-1750194190
-414404825,-1744278390
-468206372,-1744278390
2,-1741754252
1108618849,-1741118007
